ticker,current_weight,target_weight,weight_delta,current_shares,rank,decision,composite_score,momentum_score,value_score,quality_score,low_vol_score,factor_contributions,top_positive_factors,top_negative_factors,missing_count,explanation
MSFT,0.015,0.025,0.010000000000000002,4.0,7,ADD,0.1000000000000002,1.0,-0.4999999999999996,0.5000000000000007,-1.0000000000000002,"{""low_vol_score"": -0.20000000000000007, ""momentum_score"": 0.3, ""quality_score"": 0.12500000000000017, ""value_score"": -0.1249999999999999}","[""momentum_score"", ""quality_score""]","[""low_vol_score"", ""value_score""]",0,"Composite score 0.1000. Positive drivers: momentum_score, quality_score. Negative drivers: low_vol_score, value_score. Missing factor fields: 0."
AAPL,0.02,0.025,0.005000000000000001,5.0,13,ADD,-0.09999999999999978,-1.0,0.5000000000000004,-0.4999999999999992,0.9999999999999996,"{""low_vol_score"": 0.19999999999999993, ""momentum_score"": -0.3, ""quality_score"": -0.1249999999999998, ""value_score"": 0.1250000000000001}","[""low_vol_score"", ""value_score""]","[""momentum_score"", ""quality_score""]",0,"Composite score -0.1000. Positive drivers: low_vol_score, value_score. Negative drivers: momentum_score, quality_score. Missing factor fields: 0."
JPM,0.01,0.025,0.015000000000000001,10.0,19,ADD,-0.47499999999997616,-1.0,-1.0000000000000018,-0.49999999999990286,1.0,"{""low_vol_score"": 0.2, ""momentum_score"": -0.3, ""quality_score"": -0.12499999999997571, ""value_score"": -0.25000000000000044}","[""low_vol_score""]","[""momentum_score"", ""value_score""]",0,"Composite score -0.4750. Positive drivers: low_vol_score. Negative drivers: momentum_score, value_score. Missing factor fields: 0."
CAT,0.0,0.025,0.025,0.0,1,BUY,0.4916666666666668,1.0,0.0,0.5000000000000001,0.33333333333333376,"{""low_vol_score"": 0.06666666666666675, ""momentum_score"": 0.3, ""quality_score"": 0.12500000000000003, ""value_score"": 0.0}","[""momentum_score"", ""quality_score""]",[],0,"Composite score 0.4917. Positive drivers: momentum_score, quality_score. Negative drivers: none. Missing factor fields: 0."
BAC,0.0,0.025,0.025,0.0,2,BUY,0.4750000000000238,1.0,0.9999999999999982,0.5000000000000971,-1.0,"{""low_vol_score"": -0.2, ""momentum_score"": 0.3, ""quality_score"": 0.1250000000000243, ""value_score"": 0.24999999999999956}","[""momentum_score"", ""value_score""]","[""low_vol_score""]",0,"Composite score 0.4750. Positive drivers: momentum_score, value_score. Negative drivers: low_vol_score. Missing factor fields: 0."
NKE,0.0,0.025,0.025,0.0,3,BUY,0.45518108282058506,1.2592495963664103,-0.32384050180570656,0.25687353651330447,0.4707397261688125,"{""low_vol_score"": 0.0941479452337625, ""momentum_score"": 0.37777487890992306, ""quality_score"": 0.06421838412832612, ""value_score"": -0.08096012545142664}","[""momentum_score"", ""low_vol_score""]","[""value_score""]",0,"Composite score 0.4552. Positive drivers: momentum_score, low_vol_score. Negative drivers: value_score. Missing factor fields: 0."
MRK,0.0,0.025,0.025,0.0,4,BUY,0.22837390330493804,1.2256289924145625,-1.0478620553637905,0.5267181467500502,-0.04514408632997802,"{""low_vol_score"": -0.009028817265995604, ""momentum_score"": 0.36768869772436874, ""quality_score"": 0.13167953668751256, ""value_score"": -0.26196551384094763}","[""momentum_score"", ""quality_score""]","[""value_score"", ""low_vol_score""]",0,"Composite score 0.2284. Positive drivers: momentum_score, quality_score. Negative drivers: value_score, low_vol_score. Missing factor fields: 0."
COST,0.0,0.025,0.025,0.0,5,BUY,0.20566673149553755,1.1390647737484754,-0.5993244552412771,0.14742293570616494,-0.115386603726135,"{""low_vol_score"": -0.023077320745227003, ""momentum_score"": 0.3417194321245426, ""quality_score"": 0.036855733926541234, ""value_score"": -0.14983111381031927}","[""momentum_score"", ""quality_score""]","[""value_score"", ""low_vol_score""]",0,"Composite score 0.2057. Positive drivers: momentum_score, quality_score. Negative drivers: value_score, low_vol_score. Missing factor fields: 0."
KO,0.0,0.025,0.025,0.0,6,BUY,0.10489395383594816,-0.008619692801224765,-0.300396823443689,-0.06610302595893941,0.9955241201348634,"{""low_vol_score"": 0.1991048240269727, ""momentum_score"": -0.0025859078403674294, ""quality_score"": -0.016525756489734852, ""value_score"": -0.07509920586092225}","[""low_vol_score""]","[""value_score"", ""quality_score""]",0,"Composite score 0.1049. Positive drivers: low_vol_score. Negative drivers: value_score, quality_score. Missing factor fields: 0."
GOOGL,0.0,0.025,0.025,0.0,8,BUY,0.05333333333333336,0.39999999999999997,0.49999999999999994,-0.5,-0.33333333333333304,"{""low_vol_score"": -0.06666666666666661, ""momentum_score"": 0.11999999999999998, ""quality_score"": -0.125, ""value_score"": 0.12499999999999999}","[""value_score"", ""momentum_score""]","[""quality_score"", ""low_vol_score""]",0,"Composite score 0.0533. Positive drivers: value_score, momentum_score. Negative drivers: quality_score, low_vol_score. Missing factor fields: 0."
PFE,0.0,0.025,0.025,0.0,9,BUY,0.04766020382798608,-1.1269281629218086,0.7904467025526613,-0.19488670399131985,1.1842432653209665,"{""low_vol_score"": 0.2368486530641933, ""momentum_score"": -0.3380784488765426, ""quality_score"": -0.048721675997829964, ""value_score"": 0.1976116756381653}","[""low_vol_score"", ""value_score""]","[""momentum_score"", ""quality_score""]",0,"Composite score 0.0477. Positive drivers: low_vol_score, value_score. Negative drivers: momentum_score, quality_score. Missing factor fields: 0."
CVX,0.0,0.025,0.025,0.0,10,BUY,0.024999999999999745,-1.0,-1.0547118733938987e-15,0.4999999999999999,1.0,"{""low_vol_score"": 0.2, ""momentum_score"": -0.3, ""quality_score"": 0.12499999999999997, ""value_score"": -2.636779683484747e-16}","[""low_vol_score"", ""quality_score""]","[""momentum_score"", ""value_score""]",0,"Composite score 0.0250. Positive drivers: low_vol_score, quality_score. Negative drivers: momentum_score, value_score. Missing factor fields: 0."
XOM,0.0,0.025,0.025,0.0,11,BUY,-0.0250000000000003,1.0,-9.992007221626409e-16,-0.5000000000000001,-1.0,"{""low_vol_score"": -0.2, ""momentum_score"": 0.3, ""quality_score"": -0.12500000000000003, ""value_score"": -2.498001805406602e-16}","[""momentum_score""]","[""low_vol_score"", ""quality_score""]",0,"Composite score -0.0250. Positive drivers: momentum_score. Negative drivers: low_vol_score, quality_score. Missing factor fields: 0."
META,0.0,0.025,0.025,0.0,12,BUY,-0.05333333333333325,-0.39999999999999997,-0.5,0.5,0.33333333333333365,"{""low_vol_score"": 0.06666666666666674, ""momentum_score"": -0.11999999999999998, ""quality_score"": 0.125, ""value_score"": -0.125}","[""quality_score"", ""low_vol_score""]","[""value_score"", ""momentum_score""]",0,"Composite score -0.0533. Positive drivers: quality_score, low_vol_score. Negative drivers: value_score, momentum_score. Missing factor fields: 0."
PG,0.0,0.025,0.025,0.0,14,BUY,-0.10900937042947008,0.22146462764856967,-0.396100363321901,0.13907268265572448,-0.5559591927874842,"{""low_vol_score"": -0.11119183855749684, ""momentum_score"": 0.0664393882945709, ""quality_score"": 0.03476817066393112, ""value_score"": -0.09902509083047525}","[""momentum_score"", ""quality_score""]","[""low_vol_score"", ""value_score""]",0,"Composite score -0.1090. Positive drivers: momentum_score, quality_score. Negative drivers: low_vol_score, value_score. Missing factor fields: 0."
AMZN,0.0,0.025,0.025,0.0,15,BUY,-0.19695087595495478,-0.4313166429881324,-0.34287701358944783,0.3472703881036297,-0.34327113343530263,"{""low_vol_score"": -0.06865422668706053, ""momentum_score"": -0.12939499289643971, ""quality_score"": 0.08681759702590743, ""value_score"": -0.08571925339736196}","[""quality_score""]","[""momentum_score"", ""value_score""]",0,"Composite score -0.1970. Positive drivers: quality_score. Negative drivers: momentum_score, value_score. Missing factor fields: 0."
