,value
total_return,0.04135571724081277
cagr,0.020482543349918947
annualized_volatility,0.019841128451508414
sharpe_ratio,0.9940365936848475
sortino_ratio,1.3116714895138704
max_drawdown,-0.025709681349140978
calmar_ratio,0.7966860060131907
monthly_win_rate,0.25
average_monthly_turnover,0.021739130434782615
average_number_of_holdings,20.0
average_sector_exposure,0.031190248565965584
best_month,0.025075391387298973
worst_month,-0.013603067340891783
hit_rate_vs_spy_by_month,0.5416666666666666
information_ratio_vs_spy,0.7429907269067805
