,date,ticker,weight
5764,2021-01-01,AAPL,0.025
5765,2021-01-01,MSFT,0.025
5766,2021-01-01,GOOGL,0.025
5767,2021-01-01,AMZN,0.025
5768,2021-01-01,META,0.025
5769,2021-01-01,JPM,0.025
5770,2021-01-01,BAC,0.025
5771,2021-01-01,XOM,0.025
5772,2021-01-01,CVX,0.025
5773,2021-01-01,PFE,0.025
5774,2021-01-01,MRK,0.025
5775,2021-01-01,HD,0.025
5776,2021-01-01,NKE,0.025
5777,2021-01-01,CAT,0.025
5778,2021-01-01,GE,0.025
5779,2021-01-01,PG,0.025
5780,2021-01-01,KO,0.025
5781,2021-01-01,COST,0.025
5782,2021-01-01,WMT,0.025
5783,2021-01-01,UNH,0.025
5786,2021-01-04,AAPL,0.025
5787,2021-01-04,MSFT,0.025
5788,2021-01-04,GOOGL,0.025
5789,2021-01-04,AMZN,0.025
5790,2021-01-04,META,0.025
5791,2021-01-04,JPM,0.025
5792,2021-01-04,BAC,0.025
5793,2021-01-04,XOM,0.025
5794,2021-01-04,CVX,0.025
5795,2021-01-04,PFE,0.025
5796,2021-01-04,MRK,0.025
5797,2021-01-04,HD,0.025
5798,2021-01-04,NKE,0.025
5799,2021-01-04,CAT,0.025
5800,2021-01-04,GE,0.025
5801,2021-01-04,PG,0.025
5802,2021-01-04,KO,0.025
5803,2021-01-04,COST,0.025
5804,2021-01-04,WMT,0.025
5805,2021-01-04,UNH,0.025
5808,2021-01-05,AAPL,0.025
5809,2021-01-05,MSFT,0.025
5810,2021-01-05,GOOGL,0.025
5811,2021-01-05,AMZN,0.025
5812,2021-01-05,META,0.025
5813,2021-01-05,JPM,0.025
5814,2021-01-05,BAC,0.025
5815,2021-01-05,XOM,0.025
5816,2021-01-05,CVX,0.025
5817,2021-01-05,PFE,0.025
5818,2021-01-05,MRK,0.025
5819,2021-01-05,HD,0.025
5820,2021-01-05,NKE,0.025
5821,2021-01-05,CAT,0.025
5822,2021-01-05,GE,0.025
5823,2021-01-05,PG,0.025
5824,2021-01-05,KO,0.025
5825,2021-01-05,COST,0.025
5826,2021-01-05,WMT,0.025
5827,2021-01-05,UNH,0.025
5830,2021-01-06,AAPL,0.025
5831,2021-01-06,MSFT,0.025
5832,2021-01-06,GOOGL,0.025
5833,2021-01-06,AMZN,0.025
5834,2021-01-06,META,0.025
5835,2021-01-06,JPM,0.025
5836,2021-01-06,BAC,0.025
5837,2021-01-06,XOM,0.025
5838,2021-01-06,CVX,0.025
5839,2021-01-06,PFE,0.025
5840,2021-01-06,MRK,0.025
5841,2021-01-06,HD,0.025
5842,2021-01-06,NKE,0.025
5843,2021-01-06,CAT,0.025
5844,2021-01-06,GE,0.025
5845,2021-01-06,PG,0.025
5846,2021-01-06,KO,0.025
5847,2021-01-06,COST,0.025
5848,2021-01-06,WMT,0.025
5849,2021-01-06,UNH,0.025
5852,2021-01-07,AAPL,0.025
5853,2021-01-07,MSFT,0.025
5854,2021-01-07,GOOGL,0.025
5855,2021-01-07,AMZN,0.025
5856,2021-01-07,META,0.025
5857,2021-01-07,JPM,0.025
5858,2021-01-07,BAC,0.025
5859,2021-01-07,XOM,0.025
5860,2021-01-07,CVX,0.025
5861,2021-01-07,PFE,0.025
5862,2021-01-07,MRK,0.025
5863,2021-01-07,HD,0.025
5864,2021-01-07,NKE,0.025
5865,2021-01-07,CAT,0.025
5866,2021-01-07,GE,0.025
5867,2021-01-07,PG,0.025
5868,2021-01-07,KO,0.025
5869,2021-01-07,COST,0.025
5870,2021-01-07,WMT,0.025
5871,2021-01-07,UNH,0.025
5874,2021-01-08,AAPL,0.025
5875,2021-01-08,MSFT,0.025
5876,2021-01-08,GOOGL,0.025
5877,2021-01-08,AMZN,0.025
5878,2021-01-08,META,0.025
5879,2021-01-08,JPM,0.025
5880,2021-01-08,BAC,0.025
5881,2021-01-08,XOM,0.025
5882,2021-01-08,CVX,0.025
5883,2021-01-08,PFE,0.025
5884,2021-01-08,MRK,0.025
5885,2021-01-08,HD,0.025
5886,2021-01-08,NKE,0.025
5887,2021-01-08,CAT,0.025
5888,2021-01-08,GE,0.025
5889,2021-01-08,PG,0.025
5890,2021-01-08,KO,0.025
5891,2021-01-08,COST,0.025
5892,2021-01-08,WMT,0.025
5893,2021-01-08,UNH,0.025
5896,2021-01-11,AAPL,0.025
5897,2021-01-11,MSFT,0.025
5898,2021-01-11,GOOGL,0.025
5899,2021-01-11,AMZN,0.025
5900,2021-01-11,META,0.025
5901,2021-01-11,JPM,0.025
5902,2021-01-11,BAC,0.025
5903,2021-01-11,XOM,0.025
5904,2021-01-11,CVX,0.025
5905,2021-01-11,PFE,0.025
5906,2021-01-11,MRK,0.025
5907,2021-01-11,HD,0.025
5908,2021-01-11,NKE,0.025
5909,2021-01-11,CAT,0.025
5910,2021-01-11,GE,0.025
5911,2021-01-11,PG,0.025
5912,2021-01-11,KO,0.025
5913,2021-01-11,COST,0.025
5914,2021-01-11,WMT,0.025
5915,2021-01-11,UNH,0.025
5918,2021-01-12,AAPL,0.025
5919,2021-01-12,MSFT,0.025
5920,2021-01-12,GOOGL,0.025
5921,2021-01-12,AMZN,0.025
5922,2021-01-12,META,0.025
5923,2021-01-12,JPM,0.025
5924,2021-01-12,BAC,0.025
5925,2021-01-12,XOM,0.025
5926,2021-01-12,CVX,0.025
5927,2021-01-12,PFE,0.025
5928,2021-01-12,MRK,0.025
5929,2021-01-12,HD,0.025
5930,2021-01-12,NKE,0.025
5931,2021-01-12,CAT,0.025
5932,2021-01-12,GE,0.025
5933,2021-01-12,PG,0.025
5934,2021-01-12,KO,0.025
5935,2021-01-12,COST,0.025
5936,2021-01-12,WMT,0.025
5937,2021-01-12,UNH,0.025
5940,2021-01-13,AAPL,0.025
5941,2021-01-13,MSFT,0.025
5942,2021-01-13,GOOGL,0.025
5943,2021-01-13,AMZN,0.025
5944,2021-01-13,META,0.025
5945,2021-01-13,JPM,0.025
5946,2021-01-13,BAC,0.025
5947,2021-01-13,XOM,0.025
5948,2021-01-13,CVX,0.025
5949,2021-01-13,PFE,0.025
5950,2021-01-13,MRK,0.025
5951,2021-01-13,HD,0.025
5952,2021-01-13,NKE,0.025
5953,2021-01-13,CAT,0.025
5954,2021-01-13,GE,0.025
5955,2021-01-13,PG,0.025
5956,2021-01-13,KO,0.025
5957,2021-01-13,COST,0.025
