,date,ticker,weight_change
0,2021-01-01,KO,0.025
1,2021-01-01,CAT,0.025
2,2021-01-01,CVX,0.025
3,2021-01-01,META,0.025
4,2021-01-01,NKE,0.025
5,2021-01-01,MSFT,0.025
6,2021-01-01,JPM,0.025
7,2021-01-01,MRK,0.025
8,2021-01-01,WMT,0.025
9,2021-01-01,AMZN,0.025
10,2021-01-01,PFE,0.025
11,2021-01-01,COST,0.025
12,2021-01-01,UNH,0.025
13,2021-01-01,BAC,0.025
14,2021-01-01,AAPL,0.025
15,2021-01-01,GOOGL,0.025
16,2021-01-01,HD,0.025
17,2021-01-01,GE,0.025
18,2021-01-01,XOM,0.025
19,2021-01-01,PG,0.025
